Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
01-02-2021,ADANIENT,Largecap,Services,Mar-2021,838.71,1090.35,834.42,1028.65,30.0,-0.51,22.65
01-02-2021,AMBER,Largecap,Consumer Discretionary,Mar-2021,3281.0,3662.0,2990.0,3315.85,11.61,-8.87,1.06
01-03-2021,PGEL,Midcap,Consumer Discretionary,Apr-2021,42.39,42.44,28.83,33.3,0.11,-32.0,-21.44
01-04-2021,JSWSTEEL,Largecap,Metals & Mining,May-2021,675.89,731.74,636.03,672.95,8.26,-5.9,-0.43
01-04-2021,CDSL,Largecap,Financials,May-2021,384.01,480.02,366.45,470.96,25.0,-4.57,22.64
03-05-2021,WIPRO,Largecap,I.T,Jun-2021,250.33,260.54,246.22,252.06,4.08,-1.64,0.69
03-05-2021,ASTRAL,Largecap,Plastic products,Jun-2021,1393.25,1508.43,1370.18,1478.37,8.27,-1.66,6.11
03-05-2021,PERSISTENT,Largecap,I.T,Jun-2021,1225.94,1440.47,1154.6,1416.78,17.5,-5.82,15.57
01-06-2021,INFY,Largecap,I.T,Jul-2021,1403.11,1444.53,1364.76,1433.05,2.95,-2.73,2.13
01-06-2021,SRF,Largecap,Chemicals,Jul-2021,1442.59,1718.27,1428.02,1705.25,19.11,-1.01,18.21
01-06-2021,JSWENERGY,Largecap,Power & Utilities,Jul-2021,163.33,252.62,157.7,247.0,54.67,-3.44,51.23
01-06-2021,POLYCAB,Largecap,Industrials,Jul-2021,1925.83,1977.38,1722.65,1809.32,2.68,-10.55,-6.05
01-07-2021,MFSL,Largecap,Miscellaneous,Aug-2021,1124.7,1140.0,1000.0,1088.15,1.36,-11.09,-3.25
01-07-2021,TATASTEEL,Largecap,Metals & Mining,Aug-2021,127.27,135.06,115.36,127.64,6.12,-9.35,0.29
01-07-2021,APOLLOHOSP,Largecap,Healthcare,Aug-2021,4007.25,4983.91,3864.47,4908.4,24.37,-3.56,22.49
01-07-2021,MPHASIS,Largecap,I.T,Aug-2021,2345.66,2687.27,2329.99,2595.13,14.56,-0.67,10.64
01-07-2021,DIVISLAB,Largecap,Healthcare,Aug-2021,4746.88,5083.38,4633.38,5039.16,7.09,-2.39,6.16
01-07-2021,COFORGE,Largecap,I.T,Aug-2021,964.02,1008.6,874.99,984.43,4.62,-9.24,2.12
02-08-2021,TATACONSUM,Largecap,FMCG,Sep-2021,842.83,860.15,784.54,787.2,2.05,-6.92,-6.6
02-08-2021,PIIND,Largecap,Chemicals,Sep-2021,3372.88,3483.76,3055.25,3132.36,3.29,-9.42,-7.13
02-08-2021,KPITTECH,Largecap,I.T,Sep-2021,331.0,367.43,299.47,334.18,11.0,-9.53,0.96
01-09-2021,TATAPOWER,Largecap,Power & Utilities,Oct-2021,154.41,260.52,152.32,208.44,68.72,-1.35,34.99
01-09-2021,BAJAJFINSV,Largecap,Financials,Oct-2021,1770.05,1928.63,1701.59,1778.55,8.96,-3.87,0.48
01-09-2021,DMART,Largecap,Consumer Discretionary,Oct-2021,4250.0,5900.0,4205.0,4635.45,38.82,-1.06,9.07
01-09-2021,POLYCAB,Largecap,Industrials,Oct-2021,2333.69,2588.86,2073.73,2210.89,10.93,-11.14,-5.26
01-09-2021,IRCTC,Largecap,Transportation,Oct-2021,722.6,1223.71,611.69,808.98,69.35,-15.35,11.95
01-10-2021,CGPOWER,Largecap,Industrials,Nov-2021,146.2,167.44,141.06,147.34,14.53,-3.51,0.78
01-10-2021,SOLARINDS,Largecap,Aerospace & Defence,Nov-2021,2475.28,2919.46,2245.74,2749.99,17.94,-9.27,11.1
01-10-2021,CDSL,Largecap,Financials,Nov-2021,670.8,778.13,619.87,695.26,16.0,-7.59,3.65
01-10-2021,DIXON,Largecap,Consumer Discretionary,Nov-2021,4983.32,5713.35,4822.43,5090.81,14.65,-3.23,2.16
01-11-2021,APLAPOLLO,Largecap,Industrials,Dec-2021,911.41,1099.37,887.74,986.18,20.62,-2.6,8.2
01-11-2021,TIINDIA,Largecap,Industrials,Dec-2021,1634.32,1769.14,1491.25,1744.1,8.25,-8.75,6.72
01-11-2021,KPITTECH,Largecap,I.T,Dec-2021,492.79,606.17,441.94,599.37,23.01,-10.32,21.63
01-11-2021,POWERINDIA,Largecap,Industrials,Dec-2021,2594.07,2848.49,2374.57,2520.98,9.81,-8.46,-2.82
01-11-2021,MAXHEALTH,Largecap,Healthcare,Dec-2021,380.27,455.97,356.38,440.89,19.91,-6.28,15.94
01-12-2021,SRF,Largecap,Chemicals,Jan-2022,2386.25,2642.51,2236.82,2373.14,10.74,-6.26,-0.55
01-12-2021,ADANIENT,Largecap,Services,Jan-2022,1709.95,1905.1,1651.55,1711.9,11.41,-3.42,0.11
01-12-2021,KEI,Largecap,Industrials,Jan-2022,1163.48,1221.9,1062.12,1068.37,5.02,-8.71,-8.17
